Période,h_Moins de 25 ans,h_25 à 49 ans,h_50 ans ou plus ,h_Ensemble,f_Moins de 25 ans,f_25 à 49 ans,f_50 ans ou plus ,f_Ensemble,tot_Moins de 25 ans,tot_25 à 49 ans,tot_50 ans ou plus ,tot_Ensemble,,DEFM A,DEFM B,DEFM C,DEFM ABC,DEFM A,DEFM B,DEFM C,DEFM ABC,Part des hommes en activité réduite parmi la catégorie ABC,Part des femmes en activité réduite parmi la catégorie ABC,Part de l'activité réduite dans la catégorie ABC
1996T1,367 600,1 158 600,217 000,1 743 100,436 400,1 385 900,194 900,2 017 200,804 000,2 544 500,411 900,3 760 300,,1 469 100,107 700,166 300,1 743 100,1 654 800,179 600,182 800,2 017 200,16%,18%,17%
1996T2,369 700,1 170 600,221 900,1 762 200,437 500,1 395 800,200 100,2 033 300,807 200,2 566 300,421 900,3 795 500,,1 480 200,113 600,168 400,1 762 200,1 659 200,184 700,189 400,2 033 300,16%,18%,17%
1996T3,375 700,1 191 200,227 500,1 794 400,442 000,1 411 100,205 900,2 058 900,817 700,2 602 300,433 400,3 853 300,,1 481 600,120 000,192 800,1 794 400,1 661 500,193 800,203 700,2 059 000,17%,19%,18%
1996T4,380 200,1 209 700,232 800,1 822 600,439 100,1 419 900,210 800,2 069 800,819 300,2 629 600,443 600,3 892 400,,1 504 500,125 800,192 400,1 822 700,1 661 200,201 900,206 600,2 069 700,17%,20%,19%
1997T1,381 600,1 228 800,239 100,1 849 500,439 600,1 436 100,216 700,2 092 400,821 200,2 664 900,455 800,3 942 000,,1 514 200,127 200,208 100,1 849 500,1 667 200,206 400,218 800,2 092 400,18%,20%,19%
1997T2,376 600,1 245 700,246 200,1 868 500,435 500,1 457 600,224 200,2 117 300,812 100,2 703 200,470 400,3 985 700,,1 518 800,131 300,218 400,1 868 500,1 674 700,212 600,230 000,2 117 300,19%,21%,20%
1997T3,369 200,1 253 600,251 900,1 874 700,431 700,1 473 200,230 700,2 135 700,800 900,2 726 800,482 600,4 010 400,,1 492 400,133 600,248 700,1 874 700,1 665 800,218 400,251 600,2 135 800,20%,22%,21%
1997T4,363 700,1 252 800,256 500,1 873 100,429 100,1 485 700,236 900,2 151 700,792 800,2 738 600,493 400,4 024 800,,1 485 000,134 700,253 400,1 873 100,1 667 100,224 100,260 500,2 151 700,21%,23%,22%
1998T1,355 000,1 247 800,262 100,1 864 900,420 700,1 498 400,244 400,2 163 500,775 700,2 746 100,506 500,4 028 400,,1 463 700,134 600,266 600,1 864 900,1 658 500,228 000,277 000,2 163 500,22%,23%,22%
1998T2,346 200,1 236 800,266 500,1 849 500,412 800,1 509 400,251 400,2 173 700,759 000,2 746 200,518 000,4 023 200,,1 440 800,133 700,275 000,1 849 500,1 654 100,231 700,287 800,2 173 600,22%,24%,23%
1998T3,341 700,1 227 400,271 500,1 840 600,407 700,1 513 800,259 100,2 180 600,749 400,2 741 200,530 700,4 021 200,,1 427 700,134 500,278 400,1 840 600,1 651 300,234 300,295 000,2 180 600,22%,24%,23%
1998T4,342 500,1 221 800,276 000,1 840 300,405 400,1 522 700,266 300,2 194 400,747 900,2 744 400,542 300,4 034 700,,1 425 800,138 700,275 700,1 840 200,1 654 600,239 800,300 000,2 194 400,23%,25%,24%
1999T1,343 600,1 216 400,279 800,1 839 800,402 000,1 526 700,273 700,2 202 400,745 600,2 743 100,553 500,4 042 200,,1 422 400,142 300,275 100,1 839 800,1 648 700,247 200,306 400,2 202 300,23%,25%,24%
1999T2,342 700,1 208 500,281 800,1 832 900,399 100,1 532 300,280 700,2 212 100,741 800,2 740 800,562 400,4 045 000,,1 403 300,144 500,285 100,1 832 900,1 641 900,253 400,316 800,2 212 100,23%,26%,25%
1999T3,329 100,1 183 600,270 300,1 783 100,386 000,1 517 500,276 700,2 180 200,715 200,2 701 200,547 000,3 963 300,,1 342 200,142 800,298 000,1 783 000,1 593 200,254 500,332 500,2 180 200,25%,27%,26%
1999T4,307 400,1 150 100,269 200,1 726 700,369 800,1 499 800,280 500,2 150 100,677 200,2 649 900,549 700,3 876 800,,1 291 900,138 000,296 800,1 726 700,1 559 600,253 800,336 700,2 150 100,25%,27%,26%
2000T1,290 100,1 109 500,264 700,1 664 300,356 200,1 475 600,281 900,2 113 700,646 300,2 585 100,546 600,3 778 000,,1 244 700,134 000,285 600,1 664 300,1 526 800,250 400,336 500,2 113 700,25%,28%,27%
2000T2,272 600,1 058 400,261 500,1 592 400,340 000,1 438 000,282 800,2 060 800,612 600,2 496 300,544 300,3 653 200,,1 192 900,125 900,273 700,1 592 500,1 478 400,247 200,335 200,2 060 800,25%,28%,27%
2000T3,264 000,1 029 000,259 800,1 552 800,328 800,1 409 300,284 800,2 022 900,592 800,2 438 300,544 600,3 575 700,,1 156 300,131 600,264 900,1 552 800,1 434 600,252 300,335 900,2 022 800,26%,29%,28%
2000T4,249 100,990 700,255 800,1 495 600,315 100,1 364 500,282 900,1 962 500,564 200,2 355 100,538 700,3 458 100,,1 091 800,131 500,272 300,1 495 600,1 374 200,248 500,339 800,1 962 500,27%,30%,29%
2001T1,242 900,963 900,253 500,1 460 300,305 100,1 331 000,282 400,1 918 500,548 000,2 294 900,535 900,3 378 800,,1 052 900,134 300,273 100,1 460 300,1 329 100,248 700,340 600,1 918 400,28%,31%,29%
2001T2,245 500,956 600,252 500,1 454 600,301 200,1 313 100,282 200,1 896 500,546 700,2 269 700,534 700,3 351 100,,1 050 900,136 400,267 300,1 454 600,1 305 200,250 900,340 400,1 896 500,28%,31%,30%
