Période,h_Moins de 25 ans,h_25 à 49 ans,h_50 ans ou plus ,tot_h,f_Moins de 25 ans,f_25 à 49 ans,f_50 ans ou plus ,tot_f,tot_Moins de 25 ans,tot_25 à 49 ans,tot_50 ans ou plus,tot
1996T1,296 100,975 900,197 100,1 469 100,347 500,1 139 500,167 700,1 654 800,643 600,2 115 400,364 900,3 123 900
1996T2,294 900,984 800,200 500,1 480 200,345 200,1 142 700,171 300,1 659 200,640 000,2 127 600,371 800,3 139 400
1996T3,291 800,986 300,203 500,1 481 600,341 500,1 144 700,175 200,1 661 500,633 300,2 131 000,378 700,3 143 100
1996T4,296 200,1 000 000,208 200,1 504 500,337 600,1 145 200,178 400,1 661 200,633 900,2 145 200,386 700,3 165 700
1997T1,293 000,1 007 800,213 400,1 514 200,334 500,1 150 100,182 600,1 667 200,627 500,2 157 900,396 000,3 181 400
1997T2,283 800,1 016 200,218 700,1 518 800,326 200,1 160 300,188 200,1 674 700,610 100,2 176 500,406 900,3 193 500
1997T3,269 100,1 001 400,221 900,1 492 400,314 600,1 158 500,192 700,1 665 800,583 600,2 160 000,414 600,3 158 200
1997T4,262 600,997 000,225 400,1 485 000,309 500,1 161 000,196 600,1 667 100,572 100,2 158 000,422 000,3 152 100
1998T1,251 900,982 400,229 400,1 463 700,298 100,1 158 400,202 000,1 658 500,550 100,2 140 700,431 400,3 122 200
1998T2,243 000,965 300,232 500,1 440 800,289 500,1 157 700,206 900,1 654 100,532 500,2 123 000,439 400,3 094 900
1998T3,240 500,951 700,235 500,1 427 700,284 800,1 154 000,212 500,1 651 300,525 400,2 105 700,448 000,3 079 000
1998T4,240 900,946 300,238 600,1 425 800,282 500,1 155 100,217 000,1 654 600,523 400,2 101 400,455 600,3 080 400
1999T1,242 600,938 600,241 200,1 422 400,278 800,1 148 200,221 700,1 648 700,521 400,2 086 800,462 900,3 071 100
1999T2,238 600,923 100,241 500,1 403 300,273 900,1 142 100,225 900,1 641 900,512 500,2 065 300,467 500,3 045 200
1999T3,223 900,890 100,228 300,1 342 200,258 900,1 114 900,219 400,1 593 200,482 800,2 005 000,447 700,2 935 500
1999T4,205 700,860 100,226 100,1 291 900,245 500,1 093 200,220 900,1 559 600,451 200,1 953 400,446 900,2 851 500
2000T1,194 300,829 100,221 300,1 244 700,235 200,1 071 000,220 600,1 526 800,429 500,1 900 100,441 800,2 771 500
2000T2,184 500,790 900,217 500,1 192 900,223 300,1 035 400,219 700,1 478 400,407 800,1 826 300,437 200,2 671 300
2000T3,178 500,763 300,214 500,1 156 300,214 700,1 001 900,218 000,1 434 600,393 200,1 765 200,432 500,2 590 900
